doc_id,template_id,comment,title,link
0nmKkzVN,municipal_v1,Crooks some are probably pocketed wink wink,"St. Charles Mental Health Board Allocates $632,269 to Local Agencies for 2023",https://newsbreak.com/n/0nmKkzVN
0nlrJcYH,municipal_v1,So you are posting this now when it happened July 28th and it's now August 3rd?,Governor Sanders Orders Flags to Half-Staff in Honor of Late Arkansas Treasurer Mark Lowery,https://newsbreak.com/n/0nlrJcYH
0nloLht3,municipal_v1,"Meet George Jetson...his boy Elroy. Or...in Alabama it would be, Meet Jim Bob...his boy Bobby John. Thousands of ya'll flying in big A$$, home made drones, all together, 500' off the ground, with zero laws, direction, ""traffic laws"", drinking laws aren't enforced, because...hey, ya only get to F**k up Once while Flying and drinking! Yeah....this is EXACTLY what Alabama needs to ""get ahead of"". There's no need to ""get ahead of"" say...better roads, higher wages, better health care, better schools, less crime, cleaner cities...Naaaa....Homemade, personal, F***ing drones... that's it. Alabama....We're gonna be the first in flight this time around. F***ing morons in politics...SMH","Alabama Moves to Invest in Air Taxi Industry, Plans to Establish Advanced Air Mobility Study Commission",https://newsbreak.com/n/0nloLht3
0nlr4jeg,municipal_v1,This is not even a full article lol. It's nice though that she took the grandkids and left her daughter on the street 😑,Law Professor Andrew Zashin Advises Grandmother Raising Grandchildren of Homeless Daughter,https://newsbreak.com/n/0nlr4jeg
0njoniYg,municipal_v1,Whoever planned this summers construction should be fired. The road crew should have been able to have the roads shut down. And it should have been done in a more efficient manner instead of ruining everyone’s vehicles because the roads are dug down five inches and everyone is bottoming their vehicles while pulling out of their own driveways.,Glens Falls Street Resurfacing Operations Scheduled for August 2023: Public Caution and Cooperation Requested,https://newsbreak.com/n/0njoniYg
0nl42A2j,municipal_v1,THERE ARE NO DOCTORS LEFT ONLY ORDER TAKERS FROM BIG PHARMA. THESE NIT WITS CANT PRACTICE MEDICINE SO THEY ARE ON A MISSION TO MAKE RULES FOR BACKPACKS PROBABLY DESIGNED TO INJURE YOUR CHILDS BACK SO THEY CAN ADDICT YOUR CHILD TO PAIN PILLS.,Pediatric Orthopedic Specialist Shares Tips to Protect Children's Backs from Incorrect Backpack Usage,https://newsbreak.com/n/0nl42A2j
0njwIGR1,municipal_v1,same high standards 🤡🤡🤡🤣 our water tastes like the juice at the bottom of a dumpster with a shitton of bleach added to it...,Lynchburg Sources Water from James River Following Pedlar Reservoir Line Break,https://newsbreak.com/n/0njwIGR1
0njcwBW8,municipal_v1,fck peacehealth. shit company,PeaceHealth Southwest Hospice: A Holistic Approach to Terminal Care Through Volunteerism,https://newsbreak.com/n/0njcwBW8
0njYGgGZ,municipal_v1,Good one Idiots in Nazifornia The Pffice of Government Control says it will take Decades to up grade all of the United States. Stop your Adam Schiff lying now.,"U.S. Power Grid Capable of Supporting All-Electric Future, Utility Officials Assert",https://newsbreak.com/n/0njYGgGZ
0ni74OKZ,municipal_v1,These numbers are bogus as hell and crime is not down!,New Jersey's Camden County Police Department Receives $8 Million for Technological Upgrades,https://newsbreak.com/n/0ni74OKZ
0njVUQjk,municipal_v1,Sounds like more corrupt bullshit to me? Wonder which commissioner's friend will get the money?,Klamath County Announces 2023 Economic Development Grant Application Cycle to Support Local Businesses,https://newsbreak.com/n/0njVUQjk
0ni9ybDd,municipal_v1,where is the next Float and Flick try to open read more and the site is messed up,Lake Wales Hosts Successful Flick & Float Event Featuring Super Mario Bros. Movie,https://newsbreak.com/n/0ni9ybDd
0ni0uAj7,municipal_v1,There is no way Killeen has only had 8 murders this year. Stop it. Get some help. and some research assistants.,Person of Interest Identified in Killeen Murder Case; Investigation Ongoing,https://newsbreak.com/n/0ni0uAj7
0njXbysJ,municipal_v1,ya didn't do squat for my issue no surprise.,"Ohio Home Improvement Contractor Charged with Grand Theft Over Alleged $71,622 Scam",https://newsbreak.com/n/0njXbysJ
0njPtU5h,municipal_v1,someone needs to learn their building around here when writing an article.,"Augusta County Library's Fishersville Location Scheduled for Maintenance, Partial Services to Continue",https://newsbreak.com/n/0njPtU5h
0niQMnET,municipal_v1,Well who the Hell gives a Rats Ass? What a wasted read! According to the title it made it sound like something huge was happening or some kind of revolution or civil war/unrest was happening or about to occur. Who the hell cares about failure to appear and a women wasn’t able to charge her damn cell phone and 911 hang ups? The cell phone unable to charge was the most exciting thing took place I think. Please don’t write anything if that’s all you have to write about!! Geeez…,"Multiple Police Responses and Incidents Reported in Ohio and West Virginia Townships: July 19-29, 2023",https://newsbreak.com/n/0niQMnET
0niQMnET,municipal_v1,Just FYI Wv only has counties and not townships it was setup that way in Ohio because of the Northwest Ordinance.WV was still part of Virginia then.,"Multiple Police Responses and Incidents Reported in Ohio and West Virginia Townships: July 19-29, 2023",https://newsbreak.com/n/0niQMnET
0niXPI1c,municipal_v1,terrible article. put the information in the article instead of telling people to go to the Department of Natural Resources website. this is very low teir click bait,Minnesota Updates Fish Consumption Guidelines Amid Health Concerns,https://newsbreak.com/n/0niXPI1c
0niOTRZu,municipal_v1,"I am a brown, red, yellow person… African, native, and Asian. I am 70Years old and am aging equally. I have no clue what this allegation and fake article is talking about ? 🤷",Washington's Aging and Disability Services Agency Emphasizes Racial Equity in Upcoming Area Plan 2024-2027,https://newsbreak.com/n/0niOTRZu
